name,y_pred,y_obs,y
charles_rivers,0.002147073878845035,,0
danny_simpson,0.002147071441703733,,0
leslie_spencer,0.0021436966590327408,,0
david_rodriguez,0.0021261515706309663,,0
jason_blake,0.002124453174359315,,0
peter_johnston,0.002086622225564281,,0
tracy_patterson,0.0019797651884546786,,1
benjamin_cole,0.0018888119144029106,,0
jonathan_johnson,0.0017825311943231793,,0
latoya_mata,0.0017724192491081448,,0
victor_hill,0.0017452006980802795,,0
brianna_lopez,0.001692404005248455,,0
curtis_sanchez,0.0016638798686676355,,0
jordan_dean_dvm,0.0016557702408059487,,0
martin_baker,0.0016201140161848607,,0
sierra_lee,0.0015999999999999994,,0
ross_donovan,0.0015709544305720859,,0
susan_barrett,0.0015456840852142355,,0
keith_garcia,0.001499147985934975,,0
amanda_jones,0.0014280847392165864,,1
samuel_cooley,0.0014224751069469089,,0
jennifer_harrell,0.0013869625520110964,,0
krystal_bell,0.0013717421124828538,,0
jonathan_porter,0.0013655198392767453,,0
frederick_jimenez,0.0013540142857059096,,1
wendy_lynch,0.0012698233114733944,,0
samantha_duncan,0.0012478240533850965,,0
tyler_hart,0.0011696546632832961,,0
mary_dalton,0.0011395242978890373,,0
rachel_hinton,0.001117357168153599,,0
peter_hester,0.001112438493229522,,0
jason_chapman,0.0011116302986466278,,0
luis_robertson,0.0011007154650502263,,0
anthony_randall,0.001097694840834247,,0
kelly_vance,0.0010810813592693586,,0
erin_campbell,0.0010667968381547477,,0
lisa_garcia,0.0010600706713780929,,0
mary_clark_dds,0.0010404786048056672,,1
amanda_cohen,0.0009980039920146934,,0
amanda_curtis,0.000997917467476993,,0
john_price,0.0009961845901570998,,0
loretta_townsend,0.0009806072331718849,,0
david_atkinson,0.0009756194051875844,,1
johnathan_velazquez,0.0009602551336209057,,1
ricky_torres,0.0009460734116140203,,1
raymond_guerra,0.0009291844496652523,,0
mr._seth_cook,0.0009095038260887957,,0
melissa_patel,0.0008975191226748364,,0
dana_gordon,0.0008915953444987887,,0
anthony_parker,0.0008727976119342018,,0
haley_patrick,0.0008588516299625483,,1
jason_simmons,0.0008515442146030455,,0
pamela_smith,0.0008506931488767854,,0
carly_sullivan,0.000825674792375219,,0
katherine_moore,0.0008028078718444277,,0
mary_parker,0.0007938022622831777,,0
amanda_spears,0.0007907638779060659,,0
sarah_robinson,0.0007860792573044508,,0
randy_yates,0.0007738130711280298,,1
jason_thomas,0.0007686395182072434,,0
james_silva,0.0007624171652637427,,0
anthony_everett,0.0007486908991439187,,0
latoya_turner,0.000744769512902608,,0
lori_huff_dvm,0.0007239916308749441,,0
teresa_wagner,0.0007189540736513897,,0
anne_french,0.0007081206531148153,,0
wesley_spencer,0.0007055578030843596,,0
margaret_reynolds,0.0007037673051477381,,0
elizabeth_smith,0.0006927933657537301,,0
tom_gonzalez,0.000685897408339693,,0
frederick_garza,0.0006814713057401978,,0
holly_crane,0.0006503764284003648,,0
sherri_rogers,0.0006246096189881324,,0
denise_burnett,0.0006246096189881324,,0
richard_oneal,0.0006246096053163964,,0
bradley_nelson,0.0006242498381774497,,0
anthony_bird,0.0006192101982990456,,0
jeffrey_ruiz,0.0005602354301406465,,1
joseph_krause,0.0005507695369189495,,1
michelle_moore,0.0005070468283259242,,0
heidi_benson,0.0004910645389401969,,0
michael_harris,0.0004878021024048008,,0
trevor_young,0.00048202063158999807,,0
grace_davis,0.00047326076335104804,,0
crystal_mejia,0.0004732573008305664,,1
william_marks,0.0004542140894295617,,0
julian_ayala_md,0.0004513547047655753,,0
harry_mcguire,0.000446421625236448,,0
adam_french,0.0004368715933833473,,0
eugene_nelson,0.0004368684813976322,,1
angela_jones,0.0004118406018625125,,0
patrick_morris,0.0004056795131845821,,0
angela_vargas,0.0003844675123419799,,0
annette_mcclure,0.00037188543955336947,,0
jonathan_cox,0.000366998128477896,,0
roy_morgan,0.00036002329919666235,,0
john_charles,0.00035256740333348166,,0
alexa_pruitt,0.00033998575465338536,,0
margaret_bailey,0.0003365870129262516,,1
shannon_glover,0.0003177626039198433,,0
caitlin_rodriguez,0.00031227744776667467,,0
jacob_jones,0.000308985360365576,,0
dana_clark,0.00030584399266276485,,0
victor_bell,0.0003033466707907917,,0
stephen_townsend,0.0003029385034837928,,0
ashley_johnson,0.00027465503589002224,,0
jaime_rodriguez,0.00027464986958554086,,0
maria_jackson,0.00026888945621726174,,0
heather_fox,0.00026885884441064684,,0
jody_cole,0.0002484600988116357,,0
robert_hanson,0.0002479324648993491,,0
debra_smith,0.00024643522050777267,,0
james_dickson,0.000244150167360902,,0
crystal_conley,0.0002427540960301588,,0
mario_fisher,0.00024044238994450385,,0
april_soto,0.00023668635086021401,,1
jill_ferguson,0.00023071598861801134,,0
jackie_martin_dvm,0.00022830590311960128,,0
susan_hogan,0.00022722116251690263,,0
jean_jackson,0.0002263956011052397,,0
monica_brown,0.00021640337585112504,,0
james_benton,0.00021336747682478336,,0
samantha_shaffer,0.00019971151252755372,,1
george_allen,0.00019619388028820463,,0
amanda_morgan,0.00019468967555307833,,1
lindsay_archer,0.00019409977567136537,,0
mark_christian,0.000184440591687127,,0
matthew_smith,0.000180356870133019,,0
emma_gillespie,0.0001747946177466988,,0
eduardo_shields,0.00017210593120065468,,0
brandy_sims,0.00016801547803130094,,0
robert_jones,0.0001666388878932333,,0
dustin_franklin,0.00016230284284270366,,0
eugene_ibarra,0.0001569531348133673,,0
mr._jacob_flynn_jr.,0.00015608120770363372,,0
courtney_esparza,0.00015385758600933025,,0
kim_jones,0.00015255142254013565,,0
kelsey_nguyen,0.0001514407767299737,,0
gwendolyn_english,0.00014878738261841148,,0
amanda_smith,0.000148037204776,,0
taylor_russell,0.00014790765287315863,,1
alexis_phillips,0.00013734471905113994,,0
